gdp_quartile,count,mean,std
Q4 (highest),39,6.704435897435898,0.6159016409371241
Q3,38,5.604210526315789,0.6708695510162894
Q2,40,5.1229,0.7119799334539044
Q1 (lowest),39,4.209179487179487,0.6262007779498472
