,pearson_corr
GDP per capita,0.7938828678781276
Healthy life expectancy,0.7798831492425834
Social support,0.7770577880638648
Freedom to make life choices,0.5667418257199904
Perceptions of corruption,0.3856130708664786
Generosity,0.07582369490389744
